12/06/21 19:08:51;Dia
12/06/21 19:09:09;Noite
12/06/21 19:20:55;Noite
12/06/21 19:21:16;Noite
12/06/21 19:21:49;Noite
12/06/21 19:21:52;Noite
12/06/21 19:22:34;Noite
12/06/21 19:23:22;Noite
12/06/21 19:23:27;Noite
12/06/21 19:24:16;Dia
12/06/21 19:24:27;Noite
12/06/21 19:25:04;Dia
12/06/21 19:27:26;Noite
12/06/21 19:28:58;Dia
12/06/21 19:47:13;Dia
12/06/21 19:47:38;Noite
12/06/21 19:48:14;Dia
12/06/21 19:48:26;Noite
12/06/21 19:49:02;Dia
12/06/21 19:49:13;Noite
12/06/21 19:49:51;Dia
12/06/21 19:50:02;Noite
12/06/21 19:50:38;Dia
12/06/21 19:50:49;Noite
12/06/21 19:51:52;Dia
12/06/21 19:52:04;Noite
12/06/21 19:52:41;Dia
12/06/21 19:52:52;Noite
12/06/21 19:53:59;Dia
12/06/21 19:54:09;Noite
12/06/21 19:54:47;Dia
12/06/21 19:54:58;Noite
12/06/21 19:55:34;Dia
12/06/21 19:56:23;Dia
12/06/21 19:56:34;Noite
12/06/21 19:56:46;Noite
12/06/21 20:00:44;Dia
12/06/21 20:00:54;Noite
12/06/21 20:01:31;Dia
12/06/21 20:01:42;Noite
12/06/21 20:02:19;Dia
12/06/21 20:02:30;Noite
12/06/21 20:03:07;Dia
12/06/21 20:03:19;Noite
12/06/21 20:03:55;Dia
12/06/21 20:04:07;Noite
12/06/21 20:04:43;Dia
12/06/21 20:04:54;Noite
12/06/21 20:05:32;Dia
12/06/21 20:05:42;Noite
12/06/21 20:06:19;Dia
12/06/21 20:06:30;Noite
12/06/21 20:07:07;Dia
12/06/21 20:07:18;Noite
12/06/21 20:07:55;Dia
12/06/21 20:08:07;Noite
12/06/21 20:08:44;Dia
12/06/21 20:08:53;Noite
12/06/21 20:09:32;Dia
12/06/21 20:09:43;Noite
12/06/21 20:10:19;Dia
12/06/21 20:10:30;Noite
12/06/21 20:11:07;Dia
